retweetCount,favoriteCount,twitteratiScore,links,hashtags,mentions,symbols,_id,text,username,id,isRetweeted,publishedAt,language,coin,hotness,activityHotness,updatedAt,createdAt,__v,url
7,0,0,[],['blockchain'],"['DigitalChamber', 'block_one_']",[],5f3b1c0dd15121001a7b108b,"RT @DigitalChamber: Member Blog: ""The Promise of Blockchain Interoperability"" - @block_one_ describes its thoughts on #blockchain interoper…",block_one_,1295512701473640449,True,2020-08-18T00:07:52.000Z,en,59d21e9b83a0523906a45dc5,73967.47183939768,3.449987545831587,2020-08-18T00:08:45.813Z,2020-08-18T00:08:45.813Z,0,https://cryptocontrol.io/r/api/tweet/5f3b1c0dd15121001a7b108b?ref=5f5ffe6559e3200017b06c42
9,34,0,['https://twitter.com/voicesociai/status/1294714931577868288'],['EOS'],[],[],5f38389357571800199511b0,Voice begins. #EOS https://t.co/180miOHLWG,block_one_,1294717215694974976,False,2020-08-15T19:26:53.000Z,en,59d21e9b83a0523906a45dc5,73959.5054299294,4.264087336809196,2020-08-15T19:33:39.164Z,2020-08-15T19:33:39.164Z,0,https://cryptocontrol.io/r/api/tweet/5f38389357571800199511b0?ref=5f5ffe6559e3200017b06c42
51,0,0,[],[],['voicesociaI'],[],5f3645d154267d001985660b,"RT @voicesociaI: Now available: 

🇦🇺
🇦🇹
🇨🇦
🇨🇱
🇪🇪 
🇮🇳
🇮🇪
🇮🇱
🇮🇹
🇰🇪
🇲🇽
🇳🇱
🇳🇿
🇳🇬
🇳🇴
🇵🇭
🇵🇱 
🇵🇹
🇿🇦
🇪🇸
🇨🇭
🇬🇧
🇺🇸

More coming soon! 🌎",block_one_,1294159856014725120,True,2020-08-14T06:32:08.000Z,en,59d21e9b83a0523906a45dc5,73954.52516228876,5.4359030295006,2020-08-14T08:05:37.364Z,2020-08-14T08:05:37.364Z,0,https://cryptocontrol.io/r/api/tweet/5f3645d154267d001985660b?ref=5f5ffe6559e3200017b06c42
12,0,0,[],['MMOG'],"['glxyint', 'PlayBlankos', 'playmythical']",[],5f33a6905ab17700172d1343,"RT @glxyint: .@PlayBlankos is a sandbox-style #MMOG... and the debut title of our portfolio company, @PlayMythical. It's also the first AAA…",block_one_,1293462538911285248,True,2020-08-12T08:21:15.000Z,en,59d21e9b83a0523906a45dc5,73945.38134515767,3.9889840465642745,2020-08-12T08:21:36.679Z,2020-08-12T08:21:36.679Z,0,https://cryptocontrol.io/r/api/tweet/5f33a6905ab17700172d1343?ref=5f5ffe6559e3200017b06c42
15,43,0,['https://twitter.com/i/web/status/1293041577732870144'],['EOSIO'],['pumlhealthio'],[],5f325096a9fa730017697b0e,Reliable transaction finality and throughput are some of the reasons why @pumlhealthio chose #EOSIO. Read more.… https://t.co/KDylo9wH9F,block_one_,1293041577732870144,False,2020-08-11T04:28:30.000Z,en,59d21e9b83a0523906a45dc5,73941.41115744214,4.665324108807838,2020-08-11T08:02:31.187Z,2020-08-11T08:02:31.187Z,0,https://cryptocontrol.io/r/api/tweet/5f325096a9fa730017697b0e?ref=5f5ffe6559e3200017b06c42
2,11,0,['https://eos.io/news/ultra-blockchain/?utm_source=twitter&utm_medium=social&utm_campaign=builtoneosio&utm_content=ultra'],['BuiltOnEOSIO'],[],[],5f31075f7d696300195cc0f2,Have you seen our growing library of #BuiltOnEOSIO use cases? Ultra is one of our most-read. https://t.co/Nz4DTF01Dy,block_one_,1292739767730241537,False,2020-08-10T08:29:13.000Z,en,59d21e9b83a0523906a45dc5,73936.35365266282,2.9391619220655967,2020-08-10T08:37:52.870Z,2020-08-10T08:37:52.870Z,0,https://cryptocontrol.io/r/api/tweet/5f31075f7d696300195cc0f2?ref=5f5ffe6559e3200017b06c42
0,1,0,['https://github.com/EOSIO/eos/releases/tag/v2.0.7'],[],['adrian_capov'],[],5f3103a17d696300195ca73a,@adrian_capov V2.0.7 Release Notes:  https://t.co/K5K9Uc6lxR,block_one_,1292735898874818560,False,2020-08-10T08:13:50.000Z,en,59d21e9b83a0523906a45dc5,73933.37175925926,0.0,2020-08-10T08:21:54.063Z,2020-08-10T08:21:54.063Z,0,https://cryptocontrol.io/r/api/tweet/5f3103a17d696300195ca73a?ref=5f5ffe6559e3200017b06c42
16,57,0,['https://testnet.eos.io/'],['EOSIO'],[],[],5f2d05acf8a8b100183e17d1,"Our testnet is now running #EOSIO v2.0.7. Create a Developer Account, and try it out. https://t.co/QHnXuXWQ7a https://t.co/jXsD1oZCm4",block_one_,1291575628689375234,False,2020-08-07T03:23:20.000Z,en,59d21e9b83a0523906a45dc5,73925.37943522498,4.814620410170298,2020-08-07T07:41:33.168Z,2020-08-07T07:41:33.168Z,0,https://cryptocontrol.io/r/api/tweet/5f2d05acf8a8b100183e17d1?ref=5f5ffe6559e3200017b06c42
2,7,0,['https://twitter.com/i/web/status/1291293792541110273'],"['EOSIO', 'Developer']",[],[],5f2bc32a5f5d750017e03d82,"We’ve just updated our #EOSIO #Developer Portal with new features, including a revised user-friendly search functio… https://t.co/WkP2VufyvR",block_one_,1291293792541110273,False,2020-08-06T08:43:25.000Z,en,59d21e9b83a0523906a45dc5,73920.18178801358,2.72785282839839,2020-08-06T08:45:31.682Z,2020-08-06T08:45:31.682Z,0,https://cryptocontrol.io/r/api/tweet/5f2bc32a5f5d750017e03d82?ref=5f5ffe6559e3200017b06c42
4,5,0,['https://twitter.com/i/web/status/1291034775797587969'],['Blockchain'],[],[],5f2ad32b0fe45d00198b79ed,#Blockchain is making industries like digital advertising more efficient by helping to automate marketing managemen… https://t.co/hOosotHA0E,block_one_,1291034775797587969,False,2020-08-05T15:34:11.000Z,en,59d21e9b83a0523906a45dc5,73917.70846901291,3.1135153092103742,2020-08-05T15:41:32.557Z,2020-08-05T15:41:32.557Z,0,https://cryptocontrol.io/r/api/tweet/5f2ad32b0fe45d00198b79ed?ref=5f5ffe6559e3200017b06c42
3,19,0,['https://twitter.com/i/web/status/1290598751904571392'],['EOSIO'],[],[],5f293f68654275001a58c3bf,We've supported 100+ companies through investments and grants with many more planned. Take a look at these #EOSIO u… https://t.co/wuHnbBMEqa,block_one_,1290598751904571392,False,2020-08-04T10:41:35.000Z,en,59d21e9b83a0523906a45dc5,73913.20317593488,3.4210000089583352,2020-08-04T10:58:48.578Z,2020-08-04T10:58:48.578Z,0,https://cryptocontrol.io/r/api/tweet/5f293f68654275001a58c3bf?ref=5f5ffe6559e3200017b06c42
2,11,0,['https://twitter.com/i/web/status/1290420959015403520'],[],['TheSyedJafri'],[],5f28984c6d77f10010c3b476,".@TheSyedJafri on EOSIO.VM: “It takes in Ethereum transactions, signs transactions, and then submits them to the… https://t.co/Swhawnv5Zy",block_one_,1290420959015403520,False,2020-08-03T22:55:06.000Z,en,59d21e9b83a0523906a45dc5,73910.75888414429,2.9391619220655967,2020-08-03T23:05:49.562Z,2020-08-03T23:05:49.562Z,0,https://cryptocontrol.io/r/api/tweet/5f28984c6d77f10010c3b476?ref=5f5ffe6559e3200017b06c42
16,0,0,[],"['EOSIO', 'dapp']",['dfuseio'],[],5f274d6128c32900164399a3,RT @dfuseio: Developers who write smart contracts or seek to integrate #EOSIO blockchain data into their #dapp require a testing ground in…,block_one_,1289041278915682304,True,2020-07-31T03:32:44.000Z,en,59d21e9b83a0523906a45dc5,73896.86759204493,4.276666119016055,2020-08-02T23:33:55.576Z,2020-08-02T23:33:55.576Z,0,https://cryptocontrol.io/r/api/tweet/5f274d6128c32900164399a3?ref=5f5ffe6559e3200017b06c42
5,0,0,[],"['EOS', 'VR', 'AR']","['eoswriter', 'glxyint', 'PolyarcGames']",[],5f229cc20b40f10019c4e190,"RT @eoswriter: The Galaxy #EOS VC Fund (@glxyint) has made an investment in @PolyarcGames, a #VR/#AR gaming studio that's creating an immer…",block_one_,1288776123556356096,True,2020-07-30T09:59:06.000Z,en,59d21e9b83a0523906a45dc5,73892.77768197587,3.1135153092103742,2020-07-30T10:11:16.686Z,2020-07-30T10:11:16.686Z,0,https://cryptocontrol.io/r/api/tweet/5f229cc20b40f10019c4e190?ref=5f5ffe6559e3200017b06c42
6,35,0,['https://twitter.com/i/web/status/1288528019523592197'],['EOSIOHackathon'],[],[],5f2273960b40f10019c3bea3,"#EOSIOHackathon participant, Stimulus-Integrity, created a solution to better distribute pandemic relief with enhan… https://t.co/WEUmV5yuTU",block_one_,1288528019523592197,False,2020-07-29T17:33:14.000Z,en,59d21e9b83a0523906a45dc5,73890.99467490238,4.069026754237811,2020-07-30T07:15:34.166Z,2020-07-30T07:15:34.166Z,0,https://cryptocontrol.io/r/api/tweet/5f2273960b40f10019c3bea3?ref=5f5ffe6559e3200017b06c42
15,0,0,[],[],"['digitalassetcom', 'ShaulKfir', 'IanHolsman', 'block_one_', 'art_malkov', 'blockdriven']",[],5f2273960b40f10019c3bec5,"RT @digitalassetcom: Calling all aspiring blockchain developers! Join @ShaulKfir, @IanHolsman @block_one_ and @art_malkov @blockdriven on T…",block_one_,1287989945731186688,True,2020-07-28T05:55:07.000Z,en,59d21e9b83a0523906a45dc5,73885.19856278306,4.212127597878484,2020-07-30T07:15:34.168Z,2020-07-30T07:15:34.168Z,0,https://cryptocontrol.io/r/api/tweet/5f2273960b40f10019c3bec5?ref=5f5ffe6559e3200017b06c42
18,50,0,['https://eos.io/news/virginia-tech-challenge/?utm_source=twitter&utm_medium=social&utm_campaign=eosio_updates&utm_content=virgtech'],"['EOSIO', 'Blockchain']",['VT_CS'],[],5f2273960b40f10019c3bed2,Find out how @VT_CS students used #EOSIO to improve campus life in the #Blockchain Challenge. https://t.co/9lCt8KvDpp,block_one_,1287855168210575362,False,2020-07-27T20:59:33.000Z,en,59d21e9b83a0523906a45dc5,73884.33503190694,4.836281906951478,2020-07-30T07:15:34.168Z,2020-07-30T07:15:34.168Z,0,https://cryptocontrol.io/r/api/tweet/5f2273960b40f10019c3bed2?ref=5f5ffe6559e3200017b06c42
13,53,0,['https://twitter.com/i/web/status/1286702154334515208'],['EOSIOHackathon'],[],[],5f1e89730b40f10019a320c4,"From creator to customer, this #EOSIOHackathon idea allows medical supplies and more to be manufactured and sold in… https://t.co/ltLqY21RPA",block_one_,1286702154334515208,False,2020-07-24T16:37:54.000Z,en,59d21e9b83a0523906a45dc5,73871.43726855324,4.665324108807838,2020-07-27T07:59:47.758Z,2020-07-27T07:59:47.758Z,0,https://cryptocontrol.io/r/api/tweet/5f1e89730b40f10019a320c4?ref=5f5ffe6559e3200017b06c42
63,0,0,['https://cointelegraph.com/news/why-interoperability-is-the-key-to-future-innovation-and-adoption'],[],['Cointelegraph'],[],5f1e89730b40f10019a320c6,RT @Cointelegraph: Embracing interoperability means empowering the global community for blockchain mass adoption https://t.co/Hn6SXljHK5,block_one_,1286449155615973376,True,2020-07-23T23:52:34.000Z,en,59d21e9b83a0523906a45dc5,73869.62656397502,5.647212123167807,2020-07-27T07:59:47.758Z,2020-07-27T07:59:47.758Z,0,https://cryptocontrol.io/r/api/tweet/5f1e89730b40f10019a320c6?ref=5f5ffe6559e3200017b06c42
17,55,0,['https://eos.io/news/puml/?utm_source=twitter&utm_medium=social&utm_campaign=builtoneosio&utm_content=puml'],['BuiltOnEOSIO'],['pumlhealthio'],[],5f1940290b40f1001977431d,Building a rewards program? @pumlhealthio rewards wellness activities with gamified incentives. #BuiltOnEOSIO https://t.co/h9iNjjp2xY,block_one_,1285965462480867330,False,2020-07-22T15:50:32.000Z,en,59d21e9b83a0523906a45dc5,73863.47665227731,4.836281906951478,2020-07-23T07:45:45.981Z,2020-07-23T07:45:45.981Z,0,https://cryptocontrol.io/r/api/tweet/5f1940290b40f1001977431d?ref=5f5ffe6559e3200017b06c42
20,69,0,['https://twitter.com/i/web/status/1285169308025253888'],"['EOSIO', 'webinars', 'smartcontracts']",[],[],5f1940290b40f10019774344,"Did you miss any of our past #EOSIO #webinars? Watch the recordings and learn how to build #smartcontracts, full-st… https://t.co/1dO2ghwspU",block_one_,1285169308025253888,False,2020-07-20T11:06:54.000Z,en,59d21e9b83a0523906a45dc5,73854.87703819927,5.024538199265248,2020-07-23T07:45:45.982Z,2020-07-23T07:45:45.982Z,0,https://cryptocontrol.io/r/api/tweet/5f1940290b40f10019774344?ref=5f5ffe6559e3200017b06c42
0,0,0,[],[],['KyleWallon'],[],5f1940290b40f10019774330,@KyleWallon Perhaps try again now? It should be working.,block_one_,1284038233018396673,False,2020-07-17T08:12:25.000Z,en,59d21e9b83a0523906a45dc5,73837.36782407407,0.0,2020-07-23T07:45:45.982Z,2020-07-23T07:45:45.982Z,0,https://cryptocontrol.io/r/api/tweet/5f1940290b40f10019774330?ref=5f5ffe6559e3200017b06c42
9,45,0,['https://hackathon.eos.io/events/coding-for-change/?utm_source=twitter&utm_medium=social&utm_campaign=virtual_hackathon&utm_content=mochi#winners'],['EOSIOHackathon'],[],[],5f1940290b40f1001977433a,How can we make donation systems more transparent? Watch this #EOSIOHackathon submission from Mochi. https://t.co/bbhVQZZkLf,block_one_,1283793393567637508,False,2020-07-16T15:59:31.000Z,en,59d21e9b83a0523906a45dc5,73839.05977322874,4.394449154672439,2020-07-23T07:45:45.982Z,2020-07-23T07:45:45.982Z,0,https://cryptocontrol.io/r/api/tweet/5f1940290b40f1001977433a?ref=5f5ffe6559e3200017b06c42
