===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,OutperformSMACross_1,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-01 00:00:00,7195.23,7196.25,7175.46,7177.02,480.93,,OutperformSMACross_1,1,737425.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-01 01:00:00,7177.02,7230.0,7175.71,7216.27,836.51,,OutperformSMACross_1,2,737425.0416666666,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-01 02:00:00,7216.27,7244.87,7211.41,7242.85,626.6,,OutperformSMACross_1,3,737425.0833333334,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-01 03:00:00,7242.85,7245.0,7220.0,7225.01,748.76,,OutperformSMACross_1,4,737425.125,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-01 04:00:00,7225.01,7230.0,7215.03,7217.27,442.09,,OutperformSMACross_1,5,737425.1666666666,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-01 05:00:00,7217.27,7229.76,7216.65,7224.21,331.48,,OutperformSMACross_1,6,737425.2083333334,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-01 06:00:00,7224.21,7236.27,7221.51,7225.62,592.82,,OutperformSMACross_1,7,737425.25,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-01 07:00:00,7225.62,7232.94,7199.11,7209.83,600.11,,OutperformSMACross_1,8,737425.2916666666,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,870.9,,OutperformSMACross_1,9,737425.3333333334,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-01 09:00:00,7200.64,7210.51,7188.0,7188.77,597.7,,OutperformSMACross_1,10,737425.375,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-01 10:00:00,7188.77,7210.0,7185.2,7202.0,519.14,,OutperformSMACross_1,11,737425.4166666666,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2020-01-01 11:00:00,7202.0,7237.73,7188.61,7197.2,1003.74,,OutperformSMACross_1,12,737425.4583333334,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59,818.73,,OutperformSMACross_1,13,737425.5,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2020-01-01 13:00:00,7225.59,7231.89,7212.88,7221.2,571.45,,OutperformSMACross_1,14,737425.5416666666,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2020-01-01 14:00:00,7221.2,7234.97,7208.17,7221.43,577.26,,OutperformSMACross_1,15,737425.5833333334,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2020-01-01 15:00:00,7221.43,7255.0,7218.29,7234.19,1256.49,,OutperformSMACross_1,16,737425.625,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2020-01-01 16:00:00,7234.19,7246.42,7214.0,7245.37,835.92,,OutperformSMACross_1,17,737425.6666666666,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2020-01-01 17:00:00,7245.37,7249.99,7224.92,7236.83,1022.23,,OutperformSMACross_1,18,737425.7083333334,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2020-01-01 18:00:00,7236.83,7246.72,7225.17,7240.67,574.05,,OutperformSMACross_1,19,737425.75,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2020-01-01 19:00:00,7240.67,7241.0,7225.49,7229.48,402.18,,OutperformSMACross_1,20,737425.7916666666,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73,378.62,,OutperformSMACross_1,21,737425.8333333334,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2020-01-01 21:00:00,7236.73,7242.75,7227.0,7233.17,274.92,,OutperformSMACross_1,22,737425.875,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2020-01-01 22:00:00,7233.17,7234.49,7186.0,7197.99,726.36,,OutperformSMACross_1,23,737425.9166666666,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-01-01 23:00:00,7197.99,7204.17,7175.15,7200.85,774.75,,OutperformSMACross_1,24,737425.9583333334,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-01-02 00:00:00,7200.85,7212.5,7185.46,7211.02,373.98,,OutperformSMACross_1,25,737426.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-01-02 01:00:00,7211.02,7211.16,7185.11,7190.99,372.76,,OutperformSMACross_1,26,737426.0416666666,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02,1265.12,,OutperformSMACross_1,27,737426.0833333334,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-01-02 03:00:00,7169.02,7169.06,7120.37,7129.61,1409.21,,OutperformSMACross_1,28,737426.125,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-01-02 04:00:00,7129.61,7161.0,7116.7,7142.21,1182.93,,OutperformSMACross_1,29,737426.1666666666,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-01-02 05:00:00,7142.21,7152.05,7126.93,7138.93,536.5,,OutperformSMACross_1,30,737426.2083333334,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97,639.65,,OutperformSMACross_1,31,737426.25,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-01-02 07:00:00,7135.97,7140.63,7105.0,7110.57,1434.99,,OutperformSMACross_1,32,737426.2916666666,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-01-02 08:00:00,7110.57,7157.48,7109.11,7154.36,1034.09,,OutperformSMACross_1,33,737426.3333333334,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-01-02 09:00:00,7154.36,7165.0,7135.36,7162.01,785.64,,OutperformSMACross_1,34,737426.375,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
