===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,OutperformSMACross_3,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-01 00:00:00,7195.23,7196.25,7175.46,7177.02,480.93,,OutperformSMACross_3,1,737425.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-01 01:00:00,7177.02,7230.0,7175.71,7216.27,836.51,,OutperformSMACross_3,2,737425.0416666666,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-01 02:00:00,7216.27,7244.87,7211.41,7242.85,626.6,,OutperformSMACross_3,3,737425.0833333334,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-01 03:00:00,7242.85,7245.0,7220.0,7225.01,748.76,,OutperformSMACross_3,4,737425.125,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-01 04:00:00,7225.01,7230.0,7215.03,7217.27,442.09,,OutperformSMACross_3,5,737425.1666666666,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-01 05:00:00,7217.27,7229.76,7216.65,7224.21,331.48,,OutperformSMACross_3,6,737425.2083333334,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-01 06:00:00,7224.21,7236.27,7221.51,7225.62,592.82,,OutperformSMACross_3,7,737425.25,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-01 07:00:00,7225.62,7232.94,7199.11,7209.83,600.11,,OutperformSMACross_3,8,737425.2916666666,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,870.9,,OutperformSMACross_3,9,737425.3333333334,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-01 09:00:00,7200.64,7210.51,7188.0,7188.77,597.7,,OutperformSMACross_3,10,737425.375,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-01 10:00:00,7188.77,7210.0,7185.2,7202.0,519.14,,OutperformSMACross_3,11,737425.4166666666,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2020-01-01 11:00:00,7202.0,7237.73,7188.61,7197.2,1003.74,,OutperformSMACross_3,12,737425.4583333334,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59,818.73,,OutperformSMACross_3,13,737425.5,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2020-01-01 13:00:00,7225.59,7231.89,7212.88,7221.2,571.45,,OutperformSMACross_3,14,737425.5416666666,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2020-01-01 14:00:00,7221.2,7234.97,7208.17,7221.43,577.26,,OutperformSMACross_3,15,737425.5833333334,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2020-01-01 15:00:00,7221.43,7255.0,7218.29,7234.19,1256.49,,OutperformSMACross_3,16,737425.625,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2020-01-01 16:00:00,7234.19,7246.42,7214.0,7245.37,835.92,,OutperformSMACross_3,17,737425.6666666666,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2020-01-01 17:00:00,7245.37,7249.99,7224.92,7236.83,1022.23,,OutperformSMACross_3,18,737425.7083333334,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2020-01-01 18:00:00,7236.83,7246.72,7225.17,7240.67,574.05,,OutperformSMACross_3,19,737425.75,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2020-01-01 19:00:00,7240.67,7241.0,7225.49,7229.48,402.18,,OutperformSMACross_3,20,737425.7916666666,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73,378.62,,OutperformSMACross_3,21,737425.8333333334,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2020-01-01 21:00:00,7236.73,7242.75,7227.0,7233.17,274.92,,OutperformSMACross_3,22,737425.875,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2020-01-01 22:00:00,7233.17,7234.49,7186.0,7197.99,726.36,,OutperformSMACross_3,23,737425.9166666666,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-01-01 23:00:00,7197.99,7204.17,7175.15,7200.85,774.75,,OutperformSMACross_3,24,737425.9583333334,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-01-02 00:00:00,7200.85,7212.5,7185.46,7211.02,373.98,,OutperformSMACross_3,25,737426.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-01-02 01:00:00,7211.02,7211.16,7185.11,7190.99,372.76,,OutperformSMACross_3,26,737426.0416666666,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02,1265.12,,OutperformSMACross_3,27,737426.0833333334,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-01-02 03:00:00,7169.02,7169.06,7120.37,7129.61,1409.21,,OutperformSMACross_3,28,737426.125,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-01-02 04:00:00,7129.61,7161.0,7116.7,7142.21,1182.93,,OutperformSMACross_3,29,737426.1666666666,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-01-02 05:00:00,7142.21,7152.05,7126.93,7138.93,536.5,,OutperformSMACross_3,30,737426.2083333334,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97,639.65,,OutperformSMACross_3,31,737426.25,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-01-02 07:00:00,7135.97,7140.63,7105.0,7110.57,1434.99,,OutperformSMACross_3,32,737426.2916666666,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-01-02 08:00:00,7110.57,7157.48,7109.11,7154.36,1034.09,,OutperformSMACross_3,33,737426.3333333334,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-01-02 09:00:00,7154.36,7165.0,7135.36,7162.01,785.64,,OutperformSMACross_3,34,737426.375,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-01-02 10:00:00,7162.01,7180.0,7153.33,7161.83,1312.2,,OutperformSMACross_3,35,737426.4166666666,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-01-02 11:00:00,7161.83,7168.67,7139.03,7139.79,710.2,,OutperformSMACross_3,36,737426.4583333334,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-01-02 12:00:00,7139.79,7163.4,7139.03,7158.29,757.44,,OutperformSMACross_3,37,737426.5,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-01-02 13:00:00,7158.29,7163.35,7107.43,7131.15,1410.3,,OutperformSMACross_3,38,737426.5416666666,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-01-02 14:00:00,7131.15,7157.1,7122.34,7135.59,875.91,,OutperformSMACross_3,39,737426.5833333334,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2020-01-02 15:00:00,7135.59,7152.0,7120.0,7130.98,810.47,,OutperformSMACross_3,40,737426.625,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-01-02 16:00:00,7130.98,7146.85,7020.0,7052.32,2996.22,,OutperformSMACross_3,41,737426.6666666666,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-01-02 17:00:00,7052.32,7053.09,6924.74,6970.04,5244.63,,OutperformSMACross_3,42,737426.7083333334,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-01-02 18:00:00,6970.04,6989.68,6949.96,6974.02,1392.82,,OutperformSMACross_3,43,737426.75,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-01-02 19:00:00,6974.02,6995.0,6960.0,6983.27,1286.09,,OutperformSMACross_3,44,737426.7916666666,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-01-02 20:00:00,6983.27,6983.27,6941.27,6948.49,1049.68,,OutperformSMACross_3,45,737426.8333333334,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-01-02 21:00:00,6948.49,6985.0,6946.2,6977.73,607.34,,OutperformSMACross_3,46,737426.875,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-01-02 22:00:00,6977.73,6978.24,6963.02,6974.8,521.92,,OutperformSMACross_3,47,737426.9166666666,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-01-02 23:00:00,6974.8,6974.8,6950.0,6965.71,701.16,,OutperformSMACross_3,48,737426.9583333334,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-01-03 00:00:00,6965.71,6966.47,6912.88,6937.0,1027.22,,OutperformSMACross_3,49,737427.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-01-03 01:00:00,6937.0,6946.07,6878.19,6888.85,2012.07,,OutperformSMACross_3,50,737427.0416666666,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-01-03 02:00:00,6888.85,6966.8,6871.04,6956.88,2614.16,,OutperformSMACross_3,51,737427.0833333334,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2020-01-03 03:00:00,6956.88,6966.36,6940.0,6952.04,1195.9,,OutperformSMACross_3,52,737427.125,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-01-03 04:00:00,6952.04,7264.71,6948.64,7210.19,8412.13,,OutperformSMACross_3,53,737427.1666666666,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-01-03 05:00:00,7210.19,7249.0,7168.48,7220.47,3255.53,,OutperformSMACross_3,54,737427.2083333334,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2020-01-03 06:00:00,7220.47,7225.0,7190.14,7202.22,1916.31,,OutperformSMACross_3,55,737427.25,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
