===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-01 00:00:00,7195.23,7196.25,7175.46,7177.02,480.93,,SMACross,1,737425.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-01 01:00:00,7177.02,7230.0,7175.71,7216.27,836.51,,SMACross,2,737425.0416666666,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-01 02:00:00,7216.27,7244.87,7211.41,7242.85,626.6,,SMACross,3,737425.0833333334,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-01 03:00:00,7242.85,7245.0,7220.0,7225.01,748.76,,SMACross,4,737425.125,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-01 04:00:00,7225.01,7230.0,7215.03,7217.27,442.09,,SMACross,5,737425.1666666666,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-01 05:00:00,7217.27,7229.76,7216.65,7224.21,331.48,,SMACross,6,737425.2083333334,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-01 06:00:00,7224.21,7236.27,7221.51,7225.62,592.82,,SMACross,7,737425.25,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-01 07:00:00,7225.62,7232.94,7199.11,7209.83,600.11,,SMACross,8,737425.2916666666,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-01 08:00:00,7209.83,7210.0,7180.0,7200.64,870.9,,SMACross,9,737425.3333333334,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-01 09:00:00,7200.64,7210.51,7188.0,7188.77,597.7,,SMACross,10,737425.375,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-01 10:00:00,7188.77,7210.0,7185.2,7202.0,519.14,,SMACross,11,737425.4166666666,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2020-01-01 11:00:00,7202.0,7237.73,7188.61,7197.2,1003.74,,SMACross,12,737425.4583333334,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
