close,high,low,open,volume,baseVolume,datetime
7177.02,7196.25,7175.46,7195.23,480.93,3453949.34,2020-01-01 00:00:00
7216.27,7230.0,7175.71,7177.02,836.51,6030300.92,2020-01-01 01:00:00
7242.85,7244.87,7211.41,7216.27,626.6,4530216.13,2020-01-01 02:00:00
7225.01,7245.0,7220.0,7242.85,748.76,5414508.65,2020-01-01 03:00:00
7217.27,7230.0,7215.03,7225.01,442.09,3193315.81,2020-01-01 04:00:00
7224.21,7229.76,7216.65,7217.27,331.48,2394229.94,2020-01-01 05:00:00
7225.62,7236.27,7221.51,7224.21,592.82,4285931.3,2020-01-01 06:00:00
7209.83,7232.94,7199.11,7225.62,600.11,4331917.06,2020-01-01 07:00:00
7200.64,7210.0,7180.0,7209.83,870.9,6263611.59,2020-01-01 08:00:00
7188.77,7210.51,7188.0,7200.64,597.7,4301877.48,2020-01-01 09:00:00
7202.0,7210.0,7185.2,7188.77,519.14,3738322.72,2020-01-01 10:00:00
7197.2,7237.73,7188.61,7202.0,1003.74,7241553.14,2020-01-01 11:00:00
7225.59,7233.33,7196.15,7197.2,818.73,5908385.02,2020-01-01 12:00:00
7221.2,7231.89,7212.88,7225.59,571.45,4127101.71,2020-01-01 13:00:00
7221.43,7234.97,7208.17,7221.2,577.26,4169391.31,2020-01-01 14:00:00
7234.19,7255.0,7218.29,7221.43,1256.49,9089369.24,2020-01-01 15:00:00
7245.37,7246.42,7214.0,7234.19,835.92,6041104.0,2020-01-01 16:00:00
7236.83,7249.99,7224.92,7245.37,1022.23,7400245.93,2020-01-01 17:00:00
7240.67,7246.72,7225.17,7236.83,574.05,4154254.4,2020-01-01 18:00:00
7229.48,7241.0,7225.49,7240.67,402.18,2908575.96,2020-01-01 19:00:00
7236.73,7242.98,7224.68,7229.48,378.62,2738914.5,2020-01-01 20:00:00
7233.17,7242.75,7227.0,7236.73,274.92,1988698.53,2020-01-01 21:00:00
7197.99,7234.49,7186.0,7233.17,726.36,5235445.26,2020-01-01 22:00:00
7200.85,7204.17,7175.15,7197.99,774.75,5568967.05,2020-01-01 23:00:00
7211.02,7212.5,7185.46,7200.85,373.98,2692786.87,2020-01-02 00:00:00
7190.99,7211.16,7185.11,7211.02,372.76,2681968.7,2020-01-02 01:00:00
7169.02,7191.0,7155.35,7190.99,1265.12,9067293.07,2020-01-02 02:00:00
7129.61,7169.06,7120.37,7169.02,1409.21,10068819.13,2020-01-02 03:00:00
7142.21,7161.0,7116.7,7129.61,1182.93,8450673.23,2020-01-02 04:00:00
7138.93,7152.05,7126.93,7142.21,536.5,3830795.55,2020-01-02 05:00:00
7135.97,7149.02,7121.43,7138.93,639.65,4566438.96,2020-01-02 06:00:00
7110.57,7140.63,7105.0,7135.97,1434.99,10215873.25,2020-01-02 07:00:00
7154.36,7157.48,7109.11,7110.57,1034.09,7381955.83,2020-01-02 08:00:00
7162.01,7165.0,7135.36,7154.36,785.64,5616156.02,2020-01-02 09:00:00
7161.83,7180.0,7153.33,7162.01,1312.2,9403671.93,2020-01-02 10:00:00
7139.79,7168.67,7139.03,7161.83,710.2,5079856.66,2020-01-02 11:00:00
7158.29,7163.4,7139.03,7139.79,757.44,5418206.81,2020-01-02 12:00:00
7131.15,7163.35,7107.43,7158.29,1410.3,10052740.13,2020-01-02 13:00:00
7135.59,7157.1,7122.34,7131.15,875.91,6250745.67,2020-01-02 14:00:00
7130.98,7152.0,7120.0,7135.59,810.47,5781838.4,2020-01-02 15:00:00
7052.32,7146.85,7020.0,7130.98,2996.22,21223627.77,2020-01-02 16:00:00
6970.04,7053.09,6924.74,7052.32,5244.63,36590597.62,2020-01-02 17:00:00
6974.02,6989.68,6949.96,6970.04,1392.82,9706564.77,2020-01-02 18:00:00
6983.27,6995.0,6960.0,6974.02,1286.09,8975453.34,2020-01-02 19:00:00
6948.49,6983.27,6941.27,6983.27,1049.68,7306956.32,2020-01-02 20:00:00
6977.73,6985.0,6946.2,6948.49,607.34,4230589.2,2020-01-02 21:00:00
6974.8,6978.24,6963.02,6977.73,521.92,3637613.22,2020-01-02 22:00:00
6965.71,6974.8,6950.0,6974.8,701.16,4882371.13,2020-01-02 23:00:00
6937.0,6966.47,6912.88,6965.71,1027.22,7131051.14,2020-01-03 00:00:00
6888.85,6946.07,6878.19,6937.0,2012.07,13902724.81,2020-01-03 01:00:00
6956.88,6966.8,6871.04,6888.85,2614.16,18117820.19,2020-01-03 02:00:00
6952.04,6966.36,6940.0,6956.88,1195.9,8312684.09,2020-01-03 03:00:00
7210.19,7264.71,6948.64,6952.04,8412.13,60038013.12,2020-01-03 04:00:00
7220.47,7249.0,7168.48,7210.19,3255.53,23442376.24,2020-01-03 05:00:00
7202.22,7225.0,7190.14,7220.47,1916.31,13807326.71,2020-01-03 06:00:00
7203.21,7232.0,7185.04,7202.22,2013.23,14522295.01,2020-01-03 07:00:00
7260.6,7297.29,7202.28,7203.21,3535.29,25645359.0,2020-01-03 08:00:00
7348.42,7358.88,7256.56,7260.6,4897.76,35803518.46,2020-01-03 09:00:00
7312.25,7371.92,7281.3,7348.42,3551.5,26028236.47,2020-01-03 10:00:00
7340.46,7346.0,7306.61,7312.25,1653.02,12113394.78,2020-01-03 11:00:00
7322.78,7350.19,7303.14,7340.46,1561.25,11445236.12,2020-01-03 12:00:00
7348.87,7380.0,7311.59,7322.78,1718.77,12615069.4,2020-01-03 13:00:00
7254.73,7362.31,7229.3,7348.87,4107.5,29880068.78,2020-01-03 14:00:00
7320.18,7322.44,7252.48,7254.73,2144.33,15621950.74,2020-01-03 15:00:00
7386.03,7405.0,7293.1,7320.18,5309.39,39090239.86,2020-01-03 16:00:00
7355.26,7403.2,7335.21,7386.03,2003.19,14750344.29,2020-01-03 17:00:00
7342.96,7369.47,7330.32,7355.26,1338.24,9832598.9,2020-01-03 18:00:00
7343.08,7352.33,7280.0,7342.96,2063.76,15109308.27,2020-01-03 19:00:00
7316.99,7361.0,7297.01,7343.08,1433.34,10504088.58,2020-01-03 20:00:00
7283.0,7335.0,7262.68,7316.99,1118.19,8169603.18,2020-01-03 21:00:00
7300.56,7320.54,7260.01,7283.0,1271.08,9261502.21,2020-01-03 22:00:00
7344.96,7346.08,7291.75,7300.56,1579.57,11564081.81,2020-01-03 23:00:00
7302.24,7350.0,7289.98,7344.96,1125.48,8238013.51,2020-01-04 00:00:00
7309.16,7312.58,7280.85,7302.24,754.96,5511388.91,2020-01-04 01:00:00
7327.83,7328.99,7296.18,7309.16,825.34,6033604.91,2020-01-04 02:00:00
7333.11,7339.69,7318.56,7327.83,720.37,5280272.61,2020-01-04 03:00:00
7334.86,7338.46,7312.65,7333.11,649.3,4757240.24,2020-01-04 04:00:00
7344.69,7369.28,7325.0,7334.86,1236.94,9086709.94,2020-01-04 05:00:00
7354.96,7367.88,7340.0,7344.69,1076.73,7917093.54,2020-01-04 06:00:00
7348.11,7363.63,7327.32,7354.96,1244.59,9142304.6,2020-01-04 07:00:00
7346.59,7365.0,7330.0,7348.11,1211.51,8900062.6,2020-01-04 08:00:00
7363.88,7369.18,7339.28,7346.59,1005.79,7393204.52,2020-01-04 09:00:00
7318.3,7369.63,7304.36,7363.88,1671.23,12284752.2,2020-01-04 10:00:00
7336.45,7339.27,7302.1,7318.3,1427.29,10455261.36,2020-01-04 11:00:00
7312.89,7339.58,7305.0,7336.45,1074.36,7862507.77,2020-01-04 12:00:00
7303.88,7326.49,7291.0,7312.89,1439.4,10517775.52,2020-01-04 13:00:00
7316.72,7323.74,7296.44,7303.88,819.08,5989110.41,2020-01-04 14:00:00
7318.99,7332.0,7305.0,7316.72,824.23,6033159.85,2020-01-04 15:00:00
7307.11,7323.26,7297.91,7318.99,993.81,7263631.61,2020-01-04 16:00:00
